mean_favorite_count,sum_favorite_count,mean_retweet_count,sum_retweet_count,mean_display_text_width,sum_display_text_width,n,code
1.5,3,0.5,1,135.5,271,2,SB
4,8,0.5,1,118,236,2,SB
2,4,0,0,97,194,2,SB
2,8,0.25,1,108,432,4,SB
2,8,0.25,1,110.75,443,4,SB
0,0,0.5,1,40,80,2,TS
2.6666666666666665,8,0.6666666666666666,2,89,267,3,SB
2.5,5,0,0,88.5,177,2,SB
1.5714285714285714,11,0.5714285714285714,4,124.57142857142857,872,7,SB
0.75,3,0.25,1,101,404,4,SB
1,5,0.6,3,87.2,436,5,SB
0.75,3,0.25,1,88.25,353,4,SB
2,6,0.3333333333333333,1,100.33333333333333,301,3,SB
1.25,5,0.5,2,103.25,413,4,SB
2.25,9,0.5,2,80.5,322,4,SB
1.6,8,0.6,3,101,505,5,SB
0.5,1,0,0,88.5,177,2,TS
1,2,0.5,1,68,136,2,TS
1,3,0.6666666666666666,2,103.33333333333333,310,3,SB
1,2,0.5,1,114,228,2,SB
1,3,0.3333333333333333,1,95.33333333333333,286,3,SB
1.6666666666666667,5,0.6666666666666666,2,95.66666666666667,287,3,SB
3.5,7,0,0,126,252,2,SB
2.6666666666666665,8,0,0,116.66666666666667,350,3,SB
2.5,5,0,0,86.5,173,2,SB
2,4,0,0,112.5,225,2,SB
4.5,9,0,0,56.5,113,2,TS
4.5,9,0,0,49,98,2,TS
1,2,0,0,52,104,2,TS
4.333333333333333,13,0.3333333333333333,1,101,303,3,SB
2.5,5,0,0,51,102,2,TS
2,4,1,2,81.5,163,2,SB
1,2,0.5,1,86.5,173,2,SB
1.8,9,0.8,4,129,645,5,SB
3,9,1.6666666666666667,5,130,390,3,SB
2.5,10,1,4,104.5,418,4,SB
0.6666666666666666,2,0,0,40.666666666666664,122,3,TS
5.5,11,5.5,11,131.5,263,2,SB
0.5,1,0,0,106,212,2,SB
1,2,0,0,72.5,145,2,TS
0,0,0,0,50,100,2,SB
1.4,7,0.2,1,122.6,613,5,SB
2,6,0.6666666666666666,2,137.33333333333334,412,3,SB
4,16,2.5,10,73,292,4,SB
6.5,13,3.5,7,71.5,143,2,SB
0.5,1,0,0,61.5,123,2,TS
5.333333333333333,16,3.3333333333333335,10,104.33333333333333,313,3,SB
4,8,1.5,3,123,246,2,SB
3.5,7,1.5,3,113,226,2,SB
1.6666666666666667,5,0,0,87,261,3,SB
0,0,0,0,56.666666666666664,170,3,TS
2,6,0,0,99.33333333333333,298,3,SB
5.5,11,1.5,3,119,238,2,SB
3,3,0,0,115,115,1,SB
5.5,22,3,12,105.75,423,4,SB
1.4,7,1,5,129.6,648,5,SB
1.5,6,1.25,5,119,476,4,SB
2.6666666666666665,8,1.3333333333333333,4,123.66666666666667,371,3,SB
3,6,0,0,114.5,229,2,SB
2,4,1.5,3,97.5,195,2,SB
0.5,1,0.5,1,129.5,259,2,SB
0.3333333333333333,1,0,0,52.333333333333336,157,3,TS
2,4,0,0,118.5,237,2,SB
1.2,6,1,5,104.6,523,5,SB
1.5,6,1.25,5,120,480,4,SB
1,5,1,5,93.6,468,5,SB
0.5714285714285714,4,0.7142857142857143,5,91.42857142857143,640,7,SB
2.5,5,2.5,5,132,264,2,SB
1,3,0.3333333333333333,1,135.66666666666666,407,3,SB
1,2,0,0,93.5,187,2,TS
1,2,0,0,112.5,225,2,SB
1,2,0.5,1,137.5,275,2,SB
0,0,0,0,35,70,2,TS
1,2,0,0,131.5,263,2,SB
4,8,2.5,5,117.5,235,2,SB
0,0,0,0,72.5,145,2,SB
3.5,14,1.25,5,115.5,462,4,SB
1,1,0,0,67,67,1,SB
1,2,0.5,1,64.5,129,2,TS
1.625,13,0.25,2,105.875,847,8,SB
1.2,6,0.4,2,117.8,589,5,SB
1,7,0.2857142857142857,2,93.28571428571429,653,7,SB
1.5,6,0.75,3,108.5,434,4,SB
0,0,0,0,37,74,2,TS
1,2,0,0,45.5,91,2,TS
1,2,0,0,46.5,93,2,TS
0,0,0,0,127,127,1,SB
1.5,6,0,0,94,376,4,SB
3,12,0.25,1,92.75,371,4,SB
1.5,6,1.5,6,113,452,4,SB
2.3333333333333335,7,2.6666666666666665,8,127,381,3,SB
1,6,0.8333333333333334,5,95.33333333333333,572,6,SB
1.4,7,1,5,110.2,551,5,SB
1.5,6,1.25,5,98.75,395,4,SB
0,0,0,0,75.66666666666667,227,3,TS
1.1666666666666667,14,0.25,3,112.83333333333333,1354,12,SB
0.6666666666666666,8,0.16666666666666666,2,103.75,1245,12,SB
1.0714285714285714,15,0.21428571428571427,3,117.64285714285714,1647,14,SB
1.0769230769230769,14,0.3076923076923077,4,110.6923076923077,1439,13,SB
2,14,0.42857142857142855,3,109.14285714285714,764,7,SB
2.4285714285714284,17,0.14285714285714285,1,107.42857142857143,752,7,SB
1.3333333333333333,8,0,0,99.16666666666667,595,6,SB
0.8333333333333334,5,0.16666666666666666,1,115.16666666666667,691,6,SB
0.8,4,0.2,1,117.4,587,5,SB
