mean_favorite_count,mean_retweet_count,mean_status_count,mean_followers_count,mean_friends_count,sum_display_text_width,n,code
2.6666666666666665,1.3333333333333333,32071,6369.333333333333,2915.3333333333335,371,3,SB
3,0,608.5,269,252.5,229,2,SB
2,1.5,9228,2185,1884.5,195,2,SB
0.5,0.5,40732,4586,1223.5,259,2,SB
0.3333333333333333,0,17038,5300.333333333333,4775,157,3,TS
2,0,4259.5,1543.5,2128,237,2,SB
1.2,1,19076,6781.8,5366.2,523,5,SB
1.5,1.25,18071.5,6200.5,5512.75,480,4,SB
1,1,23968,4862.2,3836.6,468,5,SB
0.5714285714285714,0.7142857142857143,17675.285714285714,1924.142857142857,1301.2857142857142,640,7,SB
