mean_favorite_count,mean_retweet_count,sum_display_text_width,n,code
1.2,0,557,5,SB
1.3333333333333333,0,260,3,TS
1.5,0,219,2,TS
1,0.3333333333333333,246,3,SB
0.4444444444444444,0.5555555555555556,1038,9,SB
2,1,255,2,SB
0,0,169,2,TS
0.5,0,107,2,TS
0,0,136,2,TS
0.5,0,204,2,SB
1,0,108,2,TS
1,0,173,2,TS
0.5,0,105,2,TS
1,0,317,3,SB
1.75,0,508,4,SB
1.8,0,540,5,SB
0.6666666666666666,0,330,3,SB
1,0,409,3,SB
0,0.6666666666666666,223,3,SB
0.2,0,461,5,SB
0,0.6666666666666666,258,3,SB
0.3333333333333333,0.6666666666666666,320,3,SB
0.5,0,184,2,SB
0.5714285714285714,0.42857142857142855,722,7,SB
0.75,0.5,404,4,SB
1,0,305,3,SB
2,0,219,2,SB
0,0,72,2,TS
1,0,134,2,SB
1.5,0,192,2,SB
0,0,294,3,SB
0.3333333333333333,0,234,3,SB
0.5,0,254,2,SB
0.3333333333333333,0,239,3,TS
1,0.2,544,5,SB
1.5,0.5,166,2,TS
0.5,0,278,2,SB
1.5,0,255,2,SB
0.6666666666666666,0,319,3,SB
2,2,260,2,TS
1.5,0.5,206,2,SB
0,0,295,3,SB
0,0,81,1,SB
2.5,1.5,144,2,TS
2.5,1.5,137,2,TS
2.5,1.5,244,2,SB
0.5,0,225,2,SB
1.2,0.4,597,5,SB
1,0.5,468,4,SB
0,0,50,1,TS
0.6,0.2,519,5,SB
0.8,0,576,5,SB
0,0,157,2,TS
0.5,0,378,4,SB
0.5,0,184,2,SB
0,0.3333333333333333,197,3,TS
0,0,238,2,SB
0,0,142,2,TS
1.6,0.2,660,5,SB
1.6,0.2,664,5,SB
1.5,0.25,541,4,SB
1.5,0,266,2,SB
2.3333333333333335,1.3333333333333333,406,3,SB
1,1,652,5,SB
1,0,214,2,SB
1,0,186,2,SB
0.3333333333333333,0,323,3,SB
2.25,1.25,465,4,SB
1.6666666666666667,1,345,3,SB
1,1,146,2,SB
1.5,0.5,351,4,SB
0.75,0.5,449,4,SB
1,0.3333333333333333,305,3,SB
0.5,0.5,282,2,SB
2,0.5,268,2,SB
2.5,0,197,2,SB
2.5,0,132,2,TS
3,0,118,2,TS
1,0.25,352,4,SB
1,0,153,2,SB
1.75,0.25,461,4,SB
0.5,0.5,239,2,SB
1,0.5,272,2,SB
0,0.3333333333333333,317,3,SB
0.3333333333333333,0.3333333333333333,285,3,SB
0.5,0,211,2,SB
2.5,1.5,268,2,SB
1.5,0,206,2,SB
3.5,2,227,2,SB
1,0,188,2,SB
0.8571428571428571,0.42857142857142855,858,7,SB
