student_id,course_id,gender,enrollment_reason,enrollment_status,final_grade,subject,semester,section,int,uv,percomp,tv,sum_discussion_posts,sum_n_words,overall_percent_earned,variability_percent_earned,n_with_100_pct
95634,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,76.5749312,AnPhA,S216,01,NA,3.3333333333333335,3.5,3.7142857142857144,NA,NA,0.8838529411764705,0.10028478660015962,7
95915,AnPhA-S216-01,F,Learning Preference of the Student,Approved/Enrolled,74.1874672,AnPhA,S216,01,3.8,3,3,3.4285714285714284,NA,NA,0.8029411764705883,0.18038991312914948,10
95957,AnPhA-S216-01,M,Course Unavailable at Local School,Approved/Enrolled,67.9248,AnPhA,S216,01,5,5,5,5,NA,NA,0.7375294117647059,0.22324630011353197,5
96228,AnPhA-S216-01,M,Scheduling Conflict,Approved/Enrolled,91.064,AnPhA,S216,01,4.2,4,2.5,4.142857142857143,NA,NA,0.9279411764705883,0.0889936534839697,10
96677,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,5.2,AnPhA,S216,01,4.2,4.333333333333333,4,4.285714285714286,NA,NA,0.19117647058823528,0.3132257257206253,4
96680,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,52.5504,AnPhA,S216,01,3.8,3.6666666666666665,2.5,3.7142857142857144,NA,NA,0.6882352941176471,0.19043377344391013,4
96690,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,64.8128,AnPhA,S216,01,5,5,5,5,NA,NA,0.7102352941176471,0.136516321166211,7
96720,AnPhA-S216-01,F,Learning Preference of the Student,Approved/Enrolled,7.88,AnPhA,S216,01,3.6,4.333333333333333,3,3.857142857142857,NA,NA,0.36617647058823527,0.2410618529087114,5
96853,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,85.4277328,AnPhA,S216,01,4.8,5,5,4.857142857142857,NA,NA,0.9022941176470587,0.09905264783840952,8
96854,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,85.1189328,AnPhA,S216,01,5,4.333333333333333,5,4.714285714285714,NA,NA,0.9250588235294117,0.11958214162863628,9
96959,AnPhA-S216-01,M,Course Unavailable at Local School,Approved/Enrolled,67.6608,AnPhA,S216,01,4.6,4.333333333333333,4,4.571428571428571,NA,NA,0.7875294117647058,0.1640335925753545,5
