student_id,course_id,gender,enrollment_reason,enrollment_status,final_grade,time_spent,subject,semester,section,int,uv,percomp,percentage_earned,sum_discussion_posts,sum_n_words
95377,AnPhA-S216-02,F,Learning Preference of the Student,Approved/Enrolled,76.6304,1089.9667,AnPhA,S216,02,5,5,5,0.7168823529411765,NA,NA
95919,AnPhA-S216-02,M,Course Unavailable at Local School,Approved/Enrolled,86.534932800000007,1937.4333,AnPhA,S216,02,5,5,4,0.9,NA,NA
96826,AnPhA-S216-02,F,Learning Preference of the Student,Approved/Enrolled,88.408,1073.95,AnPhA,S216,02,4,4,3.5,0.9134117647058824,NA,NA
96871,AnPhA-S216-02,F,Other,Approved/Enrolled,81.1482656,244.3835,AnPhA,S216,02,4.6,4,4,0.8485294117647059,NA,NA
66508,AnPhA-T116-01,F,Scheduling Conflict,Dropped,NA,0.45,AnPhA,T116,01,4,3.6666666666666665,3.5,0,NA,NA
76132,AnPhA-T116-01,F,Other,Approved/Enrolled,95.3392,5037.3331,AnPhA,T116,01,5,5,5,0.9764705882352941,NA,NA
79859,AnPhA-T116-01,F,Course Unavailable at Local School,Approved/Enrolled,72.992,2040.7333,AnPhA,T116,01,5,4.666666666666667,4.5,0.7654705882352941,NA,NA
84640,AnPhA-T116-01,F,Course Unavailable at Local School,Approved/Enrolled,86.1648,2362.1,AnPhA,T116,01,5,5,4,0.9014705882352941,NA,NA
84641,AnPhA-T116-01,F,Course Unavailable at Local School,Approved/Enrolled,83.5525328,4614.4,AnPhA,T116,01,4,4,3,0.9352941176470588,NA,NA
84749,AnPhA-T116-01,F,Course Unavailable at Local School,Approved/Enrolled,82.552,4199.4169,AnPhA,T116,01,5,4,4,0.9264705882352942,NA,NA
87865,AnPhA-T116-01,F,Scheduling Conflict,Approved/Enrolled,83.1264,1304.1168,AnPhA,T116,01,3.8,4.666666666666667,3.5,0.886235294117647,NA,NA
88995,AnPhA-T116-01,F,Course Unavailable at Local School,Approved/Enrolled,85.7936,119.3169,AnPhA,T116,01,4.2,4,4,0.9000294117647059,NA,NA
